600919 江苏银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/02/2016	7.52	9.03	7.52	9.03	10669472	95460008.00
08/03/2016	9.93	9.93	9.93	9.93	8027031	79708416.00
08/04/2016	10.92	10.92	10.92	10.92	5476072	59798704.00
08/05/2016	12.01	12.01	11.20	12.01	546961362	6432868864.00
08/08/2016	11.80	11.80	11.28	11.46	406454799	4670736896.00
08/09/2016	11.44	12.49	11.38	12.19	472799682	5584560128.00
08/10/2016	12.00	13.17	11.87	12.68	438180635	5435933696.00
08/11/2016	12.50	13.26	12.32	12.39	363428329	4626589696.00
08/12/2016	12.39	13.60	12.25	13.53	404534776	5222662144.00
08/15/2016	13.50	14.84	13.35	14.36	454638698	6350872576.00
08/16/2016	14.15	14.34	14.00	14.26	311120762	4400520192.00
08/17/2016	14.18	14.18	13.40	13.71	304565054	4193537536.00
08/18/2016	13.60	13.92	13.52	13.66	207118102	2833380096.00
08/19/2016	13.68	13.72	13.16	13.24	203124248	2705956096.00
数据来源:通达信
