000100 TCL 集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/30/2004	2.39	2.78	2.38	2.68	503093200	3679122944.00
02/02/2004	2.96	2.98	2.76	2.98	206425800	1670946816.00
02/03/2004	3.04	3.13	2.95	3.04	175007500	1485213568.00
02/04/2004	3.04	3.16	2.99	3.12	95638300	823366656.00
02/05/2004	3.12	3.32	3.08	3.32	108354200	963464192.00
02/06/2004	3.32	3.42	3.22	3.25	110275100	1007526016.00
02/09/2004	3.25	3.31	3.19	3.30	67955300	613661952.00
02/10/2004	3.28	3.30	3.16	3.18	86228600	769492224.00
02/11/2004	3.18	3.27	3.14	3.25	60410500	539517888.00
02/12/2004	3.25	3.27	3.10	3.12	71404500	629273920.00
02/13/2004	3.12	3.14	3.03	3.08	48775300	419935712.00
02/16/2004	3.07	3.16	3.06	3.14	40751500	354648928.00
02/17/2004	3.14	3.19	3.09	3.12	65790200	575862592.00
02/19/2004	3.22	3.22	3.13	3.14	60714600	535308096.00
02/20/2004	3.14	3.16	3.00	3.06	66125900	562986432.00
02/23/2004	3.06	3.07	2.92	2.93	62410900	519602912.00
02/24/2004	2.93	3.03	2.93	3.03	74553700	623750592.00
02/25/2004	3.04	3.05	2.87	2.89	36502300	302762688.00
02/26/2004	2.88	2.92	2.82	2.90	30780100	248500032.00
02/27/2004	2.90	2.94	2.88	2.90	20363600	166565600.00
03/01/2004	2.90	2.94	2.82	2.92	27078000	218741056.00
03/02/2004	2.92	2.98	2.86	2.95	34145300	280113088.00
03/03/2004	2.95	3.01	2.86	2.88	33882500	279528640.00
03/04/2004	2.87	2.89	2.84	2.88	20883700	167975776.00
03/05/2004	2.88	2.90	2.81	2.82	20943800	168122080.00
03/08/2004	2.80	2.81	2.70	2.71	28742100	223375888.00
03/09/2004	2.70	2.77	2.69	2.70	17557400	135499376.00
03/10/2004	2.70	2.80	2.70	2.80	19030000	148799664.00
03/11/2004	2.81	2.82	2.77	2.78	18933500	149174192.00
03/12/2004	2.79	2.80	2.73	2.76	14711700	114485728.00
03/15/2004	2.76	2.88	2.74	2.86	32354000	257890976.00
03/16/2004	2.86	2.88	2.84	2.86	20407700	164327440.00
03/17/2004	2.86	2.86	2.78	2.84	24351500	193358160.00
03/18/2004	2.88	2.96	2.86	2.88	41678700	341165088.00
03/19/2004	2.88	2.94	2.86	2.91	21122600	172633904.00
03/22/2004	2.91	2.93	2.86	2.88	16313800	132488560.00
03/23/2004	2.88	2.88	2.82	2.84	19224300	154015280.00
03/24/2004	2.83	2.90	2.82	2.89	18827500	151962496.00
03/25/2004	2.89	2.95	2.86	2.90	22249300	182034544.00
03/26/2004	2.91	2.92	2.87	2.90	11467200	93124936.00
03/29/2004	2.89	2.93	2.80	2.82	20807100	168287568.00
03/30/2004	2.81	2.81	2.66	2.70	40258000	308172192.00
03/31/2004	2.69	2.69	2.54	2.60	56260500	416114880.00
04/01/2004	2.60	2.66	2.57	2.66	31854000	237710048.00
04/02/2004	2.66	2.68	2.60	2.62	29173200	217775248.00
04/05/2004	2.60	2.61	2.54	2.56	36522900	267229536.00
04/06/2004	2.56	2.66	2.54	2.65	26188900	193611712.00
04/07/2004	2.65	2.71	2.63	2.66	43023100	325208448.00
04/08/2004	2.66	2.66	2.57	2.58	21447000	158784128.00
04/09/2004	2.58	2.62	2.54	2.56	20383600	149134448.00
04/12/2004	2.54	2.60	2.54	2.58	13179000	96302704.00
04/13/2004	2.58	2.60	2.54	2.54	15927300	115948560.00
04/14/2004	2.54	2.54	2.40	2.43	26247800	183827952.00
04/15/2004	2.42	2.43	2.31	2.31	23725900	160365808.00
04/16/2004	2.28	2.33	2.18	2.31	24334100	159263952.00
04/19/2004	2.30	2.30	2.21	2.24	18638100	121734352.00
04/20/2004	2.28	2.40	2.28	2.36	35861300	242271088.00
04/21/2004	2.38	2.50	2.37	2.48	40391400	284948768.00
04/22/2004	2.49	2.53	2.44	2.49	15625400	110680608.00
04/23/2004	2.46	2.48	2.40	2.41	15122600	105269272.00
04/27/2004	2.44	2.50	2.40	2.41	13517900	94872368.00
04/28/2004	2.41	2.47	2.39	2.45	10523700	73365544.00
04/29/2004	2.48	2.48	2.38	2.38	9727100	67859208.00
04/30/2004	2.38	2.42	2.29	2.34	9344300	63508588.00
05/10/2004	2.34	2.34	2.24	2.27	5736700	37805936.00
05/11/2004	2.27	2.35	2.25	2.34	6239000	41602076.00
05/12/2004	2.34	2.40	2.32	2.39	8850200	60650844.00
05/13/2004	2.39	2.40	2.34	2.36	5247200	35651808.00
05/14/2004	2.36	2.36	2.28	2.28	5610400	37444032.00
05/18/2004	2.26	2.28	2.17	2.28	12336800	79525424.00
05/19/2004	2.28	2.34	2.24	2.30	12484200	82933512.00
05/20/2004	2.32	2.37	2.32	2.34	16937100	114878312.00
05/21/2004	2.33	2.34	2.31	2.34	5117600	34397196.00
