000150 宜华健康 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/07/2000	7.76	9.10	7.63	8.97	40668100	687510080.00
08/08/2000	8.83	9.85	8.81	9.72	23884700	445062304.00
08/09/2000	9.66	9.88	9.44	9.61	9912800	190200848.00
08/10/2000	9.61	9.64	9.35	9.39	6619800	124499952.00
08/11/2000	9.39	10.33	9.39	10.27	13466000	268590400.00
08/14/2000	10.30	10.50	10.03	10.26	8483100	174007088.00
08/15/2000	10.29	10.95	10.18	10.72	7811500	164816624.00
08/16/2000	10.46	10.78	10.34	10.38	8356200	175347024.00
08/17/2000	10.35	11.42	10.31	11.08	11363000	251974272.00
08/18/2000	11.06	12.19	10.97	12.19	9503100	218732592.00
08/21/2000	12.32	12.58	11.92	12.19	7041400	171573824.00
08/22/2000	12.22	12.55	11.81	11.99	5523800	133608776.00
08/23/2000	11.87	12.38	11.78	12.36	7854300	188956608.00
08/24/2000	12.40	13.21	12.26	13.05	6271400	158283008.00
08/25/2000	13.01	13.43	12.97	13.35	5161200	135899680.00
08/28/2000	13.42	13.57	12.93	13.56	3759800	99618712.00
08/29/2000	13.56	13.77	13.29	13.55	2747500	73896592.00
08/30/2000	13.48	13.55	13.09	13.32	3477900	91793768.00
08/31/2000	13.23	13.23	12.33	12.48	4289400	109191264.00
09/01/2000	12.27	12.72	12.27	12.39	3669100	91044624.00
09/04/2000	12.32	12.35	11.87	12.07	1946600	46746900.00
09/05/2000	12.07	12.58	12.06	12.17	2036500	49876448.00
09/06/2000	12.07	12.17	11.89	12.07	1347200	32184350.00
09/07/2000	12.12	12.58	12.10	12.38	1090700	26846542.00
09/08/2000	12.49	12.53	12.20	12.34	935100	22994406.00
09/11/2000	12.31	12.52	12.20	12.33	610500	14929348.00
09/12/2000	12.34	12.98	12.30	12.80	1450400	36413056.00
09/13/2000	12.78	13.03	12.53	12.63	1176800	29906574.00
09/14/2000	12.58	12.77	12.47	12.58	613900	15359993.00
09/15/2000	12.58	12.93	12.58	12.78	793500	20129494.00
09/18/2000	12.80	12.91	12.38	12.41	988700	24853312.00
09/19/2000	12.27	12.60	12.08	12.51	1588400	39511664.00
09/20/2000	12.47	12.58	12.13	12.37	1092300	26822078.00
09/21/2000	12.33	12.57	12.22	12.23	541100	13342779.00
09/22/2000	12.21	12.42	12.12	12.22	729500	17791128.00
09/25/2000	12.08	12.41	12.08	12.19	411600	10003353.00
09/26/2000	12.27	12.27	12.13	12.15	380900	9229766.00
09/27/2000	12.13	12.17	11.87	12.16	1028900	24521514.00
09/28/2000	12.15	12.21	11.92	12.15	488200	11665331.00
09/29/2000	12.07	12.55	12.02	12.39	491700	12051543.00
10/09/2000	12.37	12.63	12.37	12.61	602600	15018559.00
10/10/2000	12.63	13.06	12.59	12.99	1100800	28337734.00
