000151 中成股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/06/2000	7.76	8.26	6.66	6.72	37624800	711579648.00
09/07/2000	6.68	7.35	6.64	7.06	10382400	192811088.00
09/08/2000	7.07	7.13	6.76	6.80	4200700	76698496.00
09/11/2000	6.86	7.10	6.85	6.98	2737900	50547852.00
09/12/2000	7.01	7.05	6.79	6.88	2168600	39500496.00
09/13/2000	6.88	7.05	6.81	6.90	2111600	38662108.00
09/14/2000	6.91	6.98	6.79	6.87	1627100	29621976.00
09/15/2000	6.81	6.93	6.73	6.79	1625900	29402838.00
09/18/2000	6.76	6.76	6.40	6.41	2827400	49707640.00
09/19/2000	6.34	6.36	5.99	6.02	2360700	39621136.00
09/20/2000	6.00	6.35	5.80	6.25	2211900	37170616.00
09/21/2000	6.26	6.28	6.05	6.05	974300	16283444.00
09/22/2000	6.05	6.19	5.91	5.99	1296800	21383692.00
09/25/2000	6.00	6.10	5.78	5.80	772200	12619654.00
09/26/2000	6.00	6.14	5.90	6.02	1457300	24063120.00
09/27/2000	6.00	6.20	5.90	6.10	1337400	22155682.00
09/28/2000	6.09	6.10	5.85	5.87	956400	15645872.00
09/29/2000	5.87	6.06	5.85	6.02	624500	10295227.00
10/09/2000	5.94	6.26	5.94	6.23	803500	13450241.00
10/10/2000	6.25	6.28	6.15	6.22	763100	12902241.00
10/11/2000	6.20	6.40	6.14	6.39	1703500	29117504.00
10/12/2000	6.39	6.44	6.20	6.23	1124800	19285712.00
10/13/2000	6.64	6.64	6.23	6.26	1038500	17810410.00
10/16/2000	6.26	6.27	5.96	6.01	824000	13702168.00
10/17/2000	5.98	6.12	5.98	6.10	515800	8570802.00
10/18/2000	6.09	6.20	6.05	6.10	552300	9248052.00
10/19/2000	6.09	6.26	6.08	6.15	535000	8994844.00
10/20/2000	6.13	6.31	6.09	6.25	873200	14749898.00
10/23/2000	6.27	6.47	6.25	6.37	1389400	23974478.00
10/24/2000	6.41	6.63	6.31	6.56	1561400	27256972.00
10/25/2000	6.66	7.25	6.65	6.90	9213900	170494144.00
10/26/2000	6.90	6.97	6.78	6.85	2237100	40797684.00
10/27/2000	6.88	7.00	6.85	6.91	1326300	24273498.00
10/30/2000	6.97	7.12	6.86	7.10	1841700	34161272.00
10/31/2000	7.13	7.16	6.71	6.71	1699600	31005468.00
