000153 丰原药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/20/2000	6.02	7.22	6.02	6.08	12316800	433421824.00
09/21/2000	6.07	6.27	5.97	6.04	2330800	80041224.00
09/22/2000	6.01	6.02	5.67	5.72	2512400	82059616.00
09/25/2000	5.67	5.67	5.38	5.40	1447300	44983488.00
09/26/2000	5.35	5.48	5.32	5.37	708800	21504890.00
09/27/2000	5.39	5.60	5.38	5.54	638300	19786152.00
09/28/2000	5.56	5.58	5.39	5.48	495100	15332200.00
09/29/2000	5.48	5.72	5.46	5.61	643100	20447442.00
10/09/2000	5.65	5.68	5.52	5.65	362300	11357398.00
10/10/2000	5.61	5.74	5.61	5.68	571400	18247112.00
10/11/2000	5.68	5.81	5.59	5.76	800100	25553724.00
10/12/2000	5.82	5.93	5.73	5.92	971100	31974692.00
10/13/2000	5.88	5.94	5.69	5.69	615300	20114784.00
10/16/2000	5.78	5.90	5.73	5.78	561600	18381598.00
10/17/2000	5.84	5.97	5.74	5.96	870400	28832604.00
10/18/2000	5.96	6.06	5.91	5.96	775400	26050324.00
10/19/2000	5.99	6.02	5.82	5.85	498600	16501259.00
10/20/2000	5.84	6.16	5.81	6.15	1538300	52093800.00
10/23/2000	6.17	6.31	6.09	6.22	1332000	46443212.00
10/24/2000	6.24	6.61	6.17	6.50	2336500	84568192.00
10/25/2000	6.56	6.76	6.40	6.47	2158000	79718320.00
10/26/2000	6.43	6.82	6.41	6.79	1844800	68788664.00
10/27/2000	6.80	6.93	6.69	6.78	1205100	45834860.00
10/30/2000	6.77	6.81	6.65	6.70	762300	28717124.00
10/31/2000	6.66	6.76	6.44	6.50	1091300	40029232.00
11/01/2000	6.48	6.69	6.47	6.60	629200	23173608.00
11/02/2000	6.62	6.69	6.55	6.59	407700	15094403.00
11/03/2000	6.64	6.64	6.49	6.59	458200	16803140.00
11/06/2000	6.58	6.78	6.52	6.68	458800	17160936.00
11/07/2000	6.68	6.89	6.63	6.89	717600	27224826.00
11/08/2000	6.95	7.08	6.87	6.95	765600	29838402.00
11/09/2000	6.96	6.99	6.84	6.94	594700	22880218.00
11/10/2000	6.94	7.05	6.84	6.93	679800	26361628.00
11/13/2000	6.93	6.98	6.78	6.81	705000	26885568.00
11/14/2000	6.80	6.89	6.76	6.82	506800	19281744.00
11/15/2000	6.82	6.94	6.78	6.86	298800	11422091.00
11/16/2000	6.84	6.88	6.70	6.74	603000	22770986.00
11/17/2000	6.71	6.75	6.64	6.70	546200	20406016.00
11/20/2000	6.66	6.78	6.61	6.78	332100	12404735.00
11/21/2000	6.71	6.80	6.63	6.63	248000	9339762.00
11/22/2000	6.67	6.84	6.65	6.76	295300	11163161.00
11/23/2000	6.74	6.80	6.71	6.72	434200	16379083.00
11/24/2000	6.61	6.72	6.47	6.52	823700	30365326.00
11/27/2000	6.52	6.52	6.38	6.42	467600	16873818.00
11/28/2000	6.41	6.56	6.40	6.54	411500	14865966.00
11/29/2000	6.50	6.54	6.45	6.50	322900	11722505.00
11/30/2000	6.49	6.52	6.37	6.41	299200	10833479.00
12/01/2000	6.39	6.49	6.34	6.43	318000	11454512.00
12/04/2000	6.43	6.48	6.36	6.48	232700	8344261.50
12/05/2000	6.44	6.61	6.44	6.49	134900	4943765.50
12/06/2000	6.49	6.61	6.47	6.51	195200	7146743.00
12/07/2000	6.53	6.54	6.43	6.46	168200	6098218.00
12/08/2000	6.46	6.49	6.40	6.45	216600	7801642.00
12/11/2000	6.34	6.44	6.28	6.34	235000	8349964.50
12/12/2000	6.34	6.42	6.31	6.38	148600	5305644.50
12/13/2000	6.39	6.48	6.36	6.45	116000	4174782.50
12/14/2000	6.46	6.51	6.41	6.41	93800	3383241.00
12/15/2000	6.40	6.71	6.40	6.64	288600	10548366.00
12/18/2000	6.63	6.82	6.56	6.76	658600	24814770.00
12/19/2000	6.80	6.81	6.67	6.72	324400	12258822.00
12/20/2000	6.72	6.87	6.67	6.87	526700	19991380.00
12/21/2000	6.87	6.89	6.78	6.83	396600	15115225.00
12/22/2000	6.80	6.85	6.64	6.66	187300	7040725.00
12/25/2000	6.62	6.73	6.50	6.59	260400	9623880.00
12/26/2000	6.59	6.63	6.52	6.60	246800	9071617.00
12/27/2000	6.61	6.61	6.52	6.58	228600	8396672.00
12/28/2000	6.56	6.76	6.52	6.72	151400	5604375.50
12/29/2000	6.71	6.99	6.61	6.78	544900	20825704.00
01/02/2001	6.78	7.02	6.73	6.96	893300	34550224.00
01/03/2001	6.99	7.06	6.90	6.97	442700	17237694.00
01/04/2001	6.98	7.02	6.87	6.88	252200	9743502.00
01/05/2001	6.86	6.91	6.81	6.89	231900	8902753.00
01/08/2001	6.89	6.91	6.68	6.72	468800	17666928.00
01/09/2001	6.74	6.76	6.65	6.76	161900	6073974.50
01/10/2001	6.76	6.84	6.71	6.79	190900	7245491.50
01/11/2001	6.78	6.81	6.67	6.67	219900	8271737.00
01/12/2001	6.65	6.70	6.52	6.54	469200	17252042.00
01/15/2001	6.52	6.52	6.38	6.39	396600	14247390.00
01/16/2001	6.39	6.43	6.32	6.43	224200	8019560.50
01/17/2001	6.41	6.43	6.32	6.38	279000	9946439.00
01/18/2001	6.37	6.43	6.32	6.39	146700	5242974.00
01/19/2001	6.39	6.46	6.39	6.45	484500	17470430.00
02/05/2001	6.45	6.52	6.01	6.03	366000	12645940.00
02/06/2001	6.03	6.04	5.69	6.00	400000	13156133.00
02/07/2001	5.97	5.97	5.74	5.83	164700	5419444.50
02/08/2001	5.69	5.91	5.63	5.69	225100	7288144.00
02/09/2001	5.73	5.88	5.73	5.84	223600	7314196.50
02/12/2001	5.78	5.90	5.78	5.87	95100	3120090.25
02/13/2001	5.87	5.95	5.87	5.90	95000	3160557.75
02/14/2001	5.88	5.94	5.84	5.90	50300	1664512.00
02/15/2001	5.87	5.93	5.82	5.88	110200	3632275.50
02/16/2001	5.78	5.93	5.76	5.92	145200	4749894.00
02/19/2001	5.94	6.04	5.87	6.01	112200	3751699.50
02/20/2001	5.97	6.06	5.89	5.90	164300	5515872.00
02/21/2001	5.87	5.87	5.69	5.73	162200	5235098.00
02/22/2001	5.74	5.86	5.69	5.80	88900	2898415.00
02/23/2001	5.80	5.86	5.76	5.85	71500	2333677.00
02/26/2001	5.87	5.96	5.87	5.96	59000	1962976.75
02/27/2001	5.96	5.97	5.92	5.96	81800	2730304.00
02/28/2001	5.96	5.99	5.88	5.99	61500	2052088.50
03/01/2001	6.00	6.04	5.99	6.02	72900	2462277.50
03/02/2001	6.02	6.09	6.02	6.03	264500	8984011.00
03/05/2001	6.03	6.03	5.89	5.92	161200	5383038.00
03/06/2001	5.88	6.02	5.88	5.98	54600	1828221.25
03/07/2001	6.02	6.03	5.97	6.00	72000	2425221.75
03/08/2001	6.02	6.04	5.97	6.00	98600	3321312.00
03/09/2001	6.01	6.11	5.99	6.06	130300	4435381.50
03/12/2001	6.07	6.23	6.07	6.19	157900	5458330.50
03/13/2001	6.19	6.19	6.02	6.05	158400	5404125.50
03/14/2001	6.04	6.09	5.99	6.08	71000	2412937.00
03/15/2001	6.08	6.08	6.00	6.01	138400	4682417.00
03/16/2001	6.02	6.02	5.94	5.97	135000	4522741.00
03/19/2001	5.97	5.99	5.89	5.96	93700	3122573.00
03/20/2001	5.96	5.98	5.91	5.96	153000	5100174.50
03/21/2001	5.97	6.10	5.95	6.05	105400	3572950.50
03/22/2001	6.03	6.10	6.02	6.06	121200	4113022.50
03/23/2001	6.08	6.14	6.03	6.03	145400	4964310.50
03/26/2001	6.03	6.12	5.99	6.11	184500	6252188.50
03/27/2001	6.13	6.16	6.08	6.16	179700	6189738.50
03/28/2001	6.15	6.26	6.11	6.25	194600	6738915.00
03/29/2001	6.28	6.35	6.20	6.21	436700	15375583.00
03/30/2001	6.22	6.44	6.21	6.41	376900	13373140.00
04/02/2001	6.43	6.61	6.43	6.49	471800	17283262.00
04/03/2001	6.49	6.52	6.37	6.43	212200	7647792.00
04/04/2001	6.43	6.52	6.28	6.33	313600	11283292.00
04/05/2001	6.28	6.42	6.27	6.41	168100	5990008.50
04/06/2001	6.46	6.46	6.36	6.36	150500	5397984.00
