000156 华数传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/06/2000	15.45	16.11	13.78	13.82	18857000	423414496.00
09/07/2000	13.58	14.08	13.26	13.51	5037300	106392152.00
09/08/2000	13.52	13.67	12.97	13.12	2630600	54050912.00
09/11/2000	13.12	13.27	12.92	13.05	1441200	29253396.00
09/12/2000	13.18	13.56	13.10	13.24	1553800	32187294.00
09/13/2000	13.24	13.28	12.97	13.07	1379500	27978734.00
09/14/2000	13.02	13.17	12.84	12.86	1658900	33364054.00
09/15/2000	12.86	12.98	12.64	12.67	1218800	24088898.00
09/18/2000	12.64	12.68	12.21	12.52	1496700	28947820.00
09/19/2000	12.45	12.45	12.08	12.09	968500	18385456.00
09/20/2000	12.08	12.38	11.94	12.14	976800	18436104.00
09/21/2000	12.20	12.85	12.15	12.23	715000	13785348.00
09/22/2000	12.26	12.54	12.25	12.38	761300	14696136.00
09/25/2000	12.39	12.40	11.92	11.97	722000	13530350.00
09/26/2000	11.95	12.08	11.64	11.74	912300	16751274.00
09/27/2000	11.73	12.14	11.63	12.05	580000	10750891.00
09/28/2000	11.86	12.08	11.77	11.82	436000	8072407.00
09/29/2000	11.89	12.14	11.84	12.07	470100	8823889.00
10/09/2000	12.09	12.10	11.73	12.06	372600	6869124.00
10/10/2000	12.37	12.37	12.06	12.17	576100	10889649.00
10/11/2000	12.21	12.25	12.01	12.08	562000	10573028.00
10/12/2000	12.08	12.28	11.94	12.08	385500	7268562.50
10/13/2000	12.08	12.15	11.77	11.82	629300	11688001.00
10/16/2000	11.78	11.93	11.67	11.69	531400	9723429.00
10/17/2000	11.69	11.94	11.69	11.91	167700	3069366.00
10/18/2000	11.91	12.06	11.77	12.05	348600	6491064.00
10/19/2000	12.08	12.27	12.03	12.16	703900	13332590.00
10/20/2000	12.15	12.43	12.10	12.38	855900	16364584.00
10/23/2000	12.47	12.73	12.43	12.51	1236700	24174370.00
10/24/2000	12.52	12.84	12.41	12.76	1116000	21872774.00
10/25/2000	12.76	13.62	12.76	13.09	3328000	68335904.00
10/26/2000	13.06	13.17	12.93	13.01	946800	19193074.00
10/27/2000	13.25	13.25	12.93	13.02	478200	9692685.00
10/30/2000	13.02	13.06	12.69	12.93	706000	14176683.00
10/31/2000	12.93	12.93	12.48	12.57	699200	13797489.00
11/01/2000	12.54	12.86	12.51	12.77	457700	9048002.00
11/02/2000	12.87	12.87	12.72	12.72	389400	7735243.50
11/03/2000	12.72	12.72	12.57	12.58	382900	7515456.50
11/06/2000	12.58	13.05	12.57	12.98	609200	12237296.00
11/07/2000	13.01	13.42	12.99	13.37	1292000	26691080.00
11/08/2000	13.51	13.54	13.24	13.29	1505000	31386208.00
11/09/2000	13.30	13.49	13.09	13.39	850400	17534182.00
11/10/2000	13.39	13.48	13.12	13.23	632200	13048758.00
11/13/2000	13.24	13.38	13.15	13.29	669100	13764852.00
11/14/2000	13.32	13.51	13.17	13.47	954300	19896110.00
11/15/2000	13.48	13.70	13.26	13.31	782700	16425520.00
11/16/2000	13.19	13.19	12.86	12.88	2532400	51006060.00
11/17/2000	12.86	13.15	12.79	13.09	1662700	33660780.00
11/20/2000	13.06	13.06	12.86	12.91	674800	13589497.00
11/21/2000	12.91	13.09	12.86	12.88	591200	11917482.00
11/22/2000	12.97	13.43	12.97	13.33	997800	20577538.00
11/23/2000	13.45	13.56	13.33	13.38	1134000	23654864.00
11/24/2000	13.45	13.49	12.88	13.04	627300	12895037.00
11/27/2000	12.95	13.18	12.91	12.95	433500	8769079.00
11/28/2000	13.32	13.82	12.99	13.80	1379500	28943560.00
11/29/2000	13.84	14.02	13.54	13.97	2198700	47312432.00
11/30/2000	13.97	14.02	13.72	13.76	678300	14581940.00
12/01/2000	13.74	14.34	13.74	14.16	1957700	43127800.00
12/04/2000	14.36	14.78	14.19	14.61	1736200	39343328.00
12/05/2000	15.45	15.45	14.45	14.65	2244900	51421528.00
12/06/2000	14.68	14.80	14.17	14.23	1454700	32818790.00
12/07/2000	14.17	14.39	13.97	14.19	796000	17486088.00
12/08/2000	14.16	14.37	14.06	14.23	460100	10178850.00
12/11/2000	14.23	14.34	13.76	13.76	788600	17025244.00
12/12/2000	13.74	14.25	13.69	14.17	620000	13478419.00
12/13/2000	14.16	14.35	13.97	14.15	400000	8792966.00
12/14/2000	14.02	14.34	14.02	14.16	402000	8867682.00
12/15/2000	14.16	14.16	13.91	14.02	321800	6999093.50
12/18/2000	14.04	14.47	13.98	14.43	474800	10566907.00
12/19/2000	14.47	14.87	14.47	14.64	1085100	24769744.00
12/20/2000	14.68	14.86	14.49	14.84	637600	14586783.00
12/21/2000	14.93	14.93	14.62	14.63	472900	10812180.00
12/22/2000	14.55	14.67	14.49	14.61	310400	7026003.50
12/25/2000	14.60	14.80	14.39	14.52	437700	9869515.00
12/26/2000	14.49	14.61	14.34	14.51	603900	13536143.00
12/27/2000	14.51	14.80	14.43	14.54	308700	6998644.00
12/28/2000	14.55	14.94	14.47	14.87	678200	15575141.00
12/29/2000	14.87	15.06	14.81	14.83	545000	12594717.00
01/02/2001	14.84	15.13	14.72	15.01	519700	12101237.00
01/03/2001	15.00	15.21	14.97	15.01	522500	12236805.00
01/04/2001	15.00	15.33	15.00	15.21	858800	20312920.00
01/05/2001	15.30	15.36	15.07	15.30	469300	11106388.00
01/08/2001	15.33	15.38	14.74	14.87	914700	21187314.00
01/09/2001	14.81	15.01	14.61	14.86	444600	10219023.00
01/10/2001	14.87	15.20	14.86	15.02	470600	11001644.00
01/11/2001	15.02	15.02	14.71	14.77	545400	12581472.00
01/12/2001	14.78	14.78	14.33	14.36	945200	21291536.00
01/15/2001	14.35	14.35	13.69	13.74	792200	17126942.00
01/16/2001	13.63	14.13	13.51	14.11	415300	8855187.00
01/17/2001	14.04	14.09	13.84	13.84	227900	4945809.50
01/18/2001	13.51	13.90	13.51	13.73	182600	3916720.50
01/19/2001	14.01	14.03	13.72	13.76	392300	8408114.00
02/05/2001	13.76	13.80	12.86	13.38	388800	8048831.00
02/06/2001	13.01	13.38	12.99	13.30	276900	5652633.00
02/07/2001	13.25	13.32	12.84	12.89	323100	6526926.00
02/08/2001	12.85	13.13	12.47	12.67	323400	6426294.50
02/09/2001	12.69	13.04	12.69	12.89	392000	7842813.00
02/12/2001	12.89	13.17	12.81	13.12	614000	12390600.00
02/13/2001	13.16	13.26	12.94	12.99	142100	2895609.50
02/14/2001	12.99	13.11	12.91	12.96	174800	3524441.25
02/15/2001	12.99	13.09	12.73	12.80	158100	3163316.00
02/16/2001	12.78	12.78	12.48	12.70	207900	4066449.00
02/19/2001	12.67	12.99	12.67	12.99	133600	2674724.00
02/20/2001	12.85	13.11	12.80	12.84	174200	3499746.00
02/21/2001	12.77	12.81	12.21	12.27	280100	5412648.00
02/22/2001	12.21	12.34	12.15	12.17	234200	4463370.00
02/23/2001	12.21	12.41	12.08	12.41	77000	1472213.75
02/26/2001	12.54	12.78	12.41	12.69	116900	2280740.00
02/27/2001	12.73	12.73	12.54	12.64	110600	2169766.25
02/28/2001	12.62	12.71	12.51	12.67	150200	2945243.50
03/01/2001	12.67	13.04	12.64	12.93	236100	4706358.50
03/02/2001	12.97	13.07	12.86	13.02	255300	5153810.00
03/05/2001	12.99	12.99	12.73	12.78	204700	4075800.25
03/06/2001	12.78	12.78	12.57	12.65	186700	3666597.25
03/07/2001	12.58	12.96	12.58	12.76	203000	4057832.75
03/08/2001	12.85	12.98	12.77	12.86	184300	3692495.75
03/09/2001	12.86	12.86	12.67	12.77	265100	5270036.00
03/12/2001	12.73	12.98	12.73	12.96	205300	4116498.00
03/13/2001	12.99	13.04	12.87	12.94	186100	3747509.50
03/14/2001	12.94	13.37	12.94	13.36	527300	10777690.00
03/15/2001	13.32	13.44	13.19	13.30	302900	6275573.50
03/16/2001	13.30	13.45	13.17	13.41	270300	5591262.00
03/19/2001	13.28	13.34	13.17	13.25	294300	6070808.00
03/20/2001	13.17	13.19	12.88	12.98	393100	7951556.50
03/21/2001	12.99	13.25	12.98	13.07	278100	5654208.00
03/22/2001	13.09	13.19	13.06	13.19	403200	8213504.50
03/23/2001	13.21	13.37	13.14	13.21	410100	8447395.00
03/26/2001	13.12	13.50	13.12	13.46	322800	6691342.50
03/27/2001	13.43	13.57	13.41	13.45	301000	6307446.00
03/28/2001	13.48	13.56	13.35	13.41	236100	4922518.50
03/29/2001	13.45	13.48	13.25	13.28	288400	5974225.00
03/30/2001	13.32	13.51	13.15	13.45	439200	9036878.00
04/02/2001	13.58	13.82	13.43	13.73	740500	15705380.00
04/03/2001	13.77	13.82	13.52	13.65	241800	5127492.50
04/04/2001	13.65	13.67	12.93	13.25	356200	7440556.00
04/05/2001	13.23	13.43	13.12	13.38	244100	5021469.50
04/06/2001	13.51	13.51	13.26	13.34	177900	3684331.25
04/09/2001	13.30	13.47	13.19	13.32	141100	2914859.00
04/10/2001	13.32	13.58	13.32	13.46	130100	2720022.00
04/11/2001	13.46	13.51	13.19	13.41	161800	3375217.75
04/12/2001	13.38	13.54	13.24	13.53	353900	7407247.50
04/13/2001	13.48	13.77	13.42	13.75	484400	10248008.00
04/16/2001	13.78	13.90	13.63	13.89	728500	15596982.00
04/17/2001	13.90	14.00	13.78	13.90	815100	17568870.00
04/18/2001	13.84	14.23	13.84	14.10	913600	20022218.00
04/19/2001	14.10	14.15	13.84	13.97	610000	13245709.00
