000158 常山股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
07/24/2000	4.24	4.32	4.04	4.18	53719100	529762400.00
07/25/2000	4.16	4.58	4.15	4.58	22946500	239097696.00
07/26/2000	4.64	4.67	4.49	4.55	24473700	264658048.00
07/27/2000	4.56	4.63	4.46	4.56	12166900	130686584.00
07/28/2000	4.56	4.75	4.50	4.66	10656300	116185640.00
07/31/2000	4.66	4.67	4.56	4.60	5632200	61463900.00
08/01/2000	4.59	4.62	4.56	4.58	3531800	38327952.00
08/02/2000	4.58	4.60	4.50	4.58	3775100	40523204.00
08/03/2000	4.58	4.70	4.58	4.59	5174200	56895300.00
08/04/2000	4.59	4.78	4.56	4.77	10368700	115347400.00
08/07/2000	4.78	4.87	4.69	4.78	9485500	108346880.00
08/08/2000	4.78	4.91	4.78	4.87	6557200	75661656.00
08/09/2000	4.91	5.03	4.91	4.92	7533100	89185256.00
08/10/2000	4.92	4.94	4.81	4.83	5546600	63930216.00
08/11/2000	4.83	4.91	4.77	4.87	3531200	40365288.00
08/14/2000	4.87	4.96	4.86	4.94	3769000	44119220.00
08/15/2000	4.94	4.97	4.85	4.92	2501600	29214958.00
08/16/2000	4.92	4.94	4.84	4.87	2366200	27404540.00
08/17/2000	4.88	4.97	4.86	4.90	2825900	33133246.00
08/18/2000	4.90	4.92	4.84	4.85	2974300	34366280.00
08/21/2000	4.84	4.92	4.78	4.89	3207800	37086892.00
08/22/2000	4.91	5.12	4.91	4.96	7870300	94372176.00
08/23/2000	4.95	5.40	4.88	5.27	19035900	231305232.00
08/24/2000	5.28	5.44	5.20	5.42	13128900	166251824.00
08/25/2000	5.42	5.44	5.27	5.34	6275500	80247720.00
08/28/2000	5.36	5.53	5.36	5.41	5473300	71097888.00
08/29/2000	5.44	5.46	5.36	5.44	3271200	42142844.00
08/30/2000	5.44	5.48	5.26	5.27	4318900	55076040.00
08/31/2000	5.24	5.25	5.04	5.04	6202400	75988192.00
09/01/2000	4.99	5.19	4.97	5.11	4529100	54866448.00
09/04/2000	5.08	5.21	5.04	5.19	2520100	30823148.00
09/05/2000	5.18	5.22	4.99	5.02	2161200	26274894.00
09/06/2000	4.97	5.04	4.84	4.84	2779600	32557382.00
09/07/2000	4.84	4.97	4.84	4.92	1917800	22364906.00
09/08/2000	4.95	4.97	4.85	4.92	1172500	13704630.00
09/11/2000	4.94	5.07	4.88	5.03	1680000	20024852.00
09/12/2000	5.07	5.15	5.04	5.08	1483300	17951172.00
09/13/2000	5.10	5.14	5.04	5.09	1694400	20579700.00
09/14/2000	5.10	5.11	5.03	5.05	1233400	14865276.00
09/15/2000	5.05	5.18	5.04	5.18	2348400	28718892.00
09/18/2000	5.18	5.21	5.02	5.03	1106900	13465731.00
09/19/2000	4.96	4.97	4.87	4.91	1418600	16567414.00
09/20/2000	4.93	5.07	4.88	5.06	1620200	19183544.00
09/21/2000	5.10	5.11	4.92	4.93	909500	10824433.00
09/22/2000	4.91	4.99	4.88	4.89	869800	10144116.00
09/25/2000	4.90	4.92	4.67	4.70	1502200	16983454.00
09/26/2000	4.70	4.78	4.64	4.69	1071800	11927933.00
09/27/2000	4.72	4.78	4.70	4.78	501500	5639168.00
09/28/2000	4.78	4.79	4.68	4.68	705700	7872751.00
09/29/2000	4.67	4.75	4.67	4.72	547900	6126501.50
10/09/2000	4.72	4.78	4.64	4.75	781300	8664575.00
10/10/2000	4.75	4.81	4.71	4.81	687600	7805138.50
10/11/2000	4.81	4.87	4.76	4.78	856900	9808723.00
10/12/2000	4.79	4.79	4.67	4.71	1003800	11215207.00
10/13/2000	4.71	4.76	4.68	4.73	677600	7597603.50
10/16/2000	4.73	4.73	4.64	4.67	715400	7923333.50
10/17/2000	4.66	4.70	4.64	4.69	400400	4434634.50
10/18/2000	4.69	4.73	4.66	4.72	491300	5481472.50
10/19/2000	4.72	4.73	4.66	4.68	476500	5288660.50
10/20/2000	4.67	4.79	4.65	4.78	853500	9520164.00
10/23/2000	4.82	4.82	4.74	4.82	930800	10596869.00
10/24/2000	4.84	4.84	4.76	4.82	705400	8048267.00
10/25/2000	4.82	5.02	4.82	4.96	2965100	34918412.00
10/26/2000	4.98	4.98	4.89	4.90	1082500	12686721.00
10/27/2000	4.90	4.96	4.90	4.91	746100	8731331.00
10/30/2000	4.91	4.95	4.87	4.93	800800	9331699.00
10/31/2000	4.91	4.95	4.82	4.83	752100	8735773.00
11/01/2000	4.82	4.86	4.79	4.83	712800	8150297.00
11/02/2000	4.86	4.91	4.82	4.83	594700	6877961.50
11/03/2000	4.84	4.86	4.79	4.81	723200	8256783.00
11/06/2000	4.81	4.92	4.80	4.89	610300	7072567.00
11/07/2000	4.89	5.02	4.89	5.01	1794800	21253386.00
11/08/2000	5.01	5.02	4.96	5.00	1330000	15821458.00
11/09/2000	5.00	5.03	4.96	4.99	1299100	15444733.00
11/10/2000	5.00	5.08	4.97	5.01	1884300	22525480.00
11/13/2000	5.04	5.10	5.00	5.04	1633800	19643102.00
11/14/2000	5.04	5.05	4.96	5.02	1211700	14406295.00
11/15/2000	5.02	5.11	4.98	5.11	2130400	25621800.00
11/16/2000	5.12	5.14	5.07	5.10	1714500	20847542.00
11/17/2000	5.09	5.11	4.98	5.01	1528900	18294480.00
11/20/2000	5.00	5.08	5.00	5.02	1468800	17592088.00
11/21/2000	5.03	5.11	5.03	5.03	1416800	17058956.00
11/22/2000	5.04	5.13	5.02	5.11	1697800	20499268.00
11/23/2000	5.13	5.23	5.09	5.18	2625200	32353456.00
11/24/2000	5.18	5.26	4.96	4.98	3217700	39235472.00
11/27/2000	4.96	5.08	4.92	5.03	1339300	15976160.00
11/28/2000	5.06	5.08	5.03	5.07	981300	11813742.00
11/29/2000	5.08	5.16	5.05	5.13	1390500	16898866.00
11/30/2000	5.16	5.16	5.06	5.07	832100	10094368.00
12/01/2000	5.08	5.14	5.06	5.10	766100	9305941.00
12/04/2000	5.10	5.22	5.09	5.21	1761400	21801288.00
12/05/2000	5.24	5.24	5.14	5.19	1080800	13334379.00
12/06/2000	5.22	5.32	5.16	5.25	3680400	46209592.00
12/07/2000	5.23	5.29	5.15	5.20	1426400	17744562.00
12/08/2000	5.20	5.28	5.16	5.20	1385700	17261008.00
12/11/2000	5.20	5.24	5.12	5.13	1201600	14832317.00
12/12/2000	5.11	5.20	5.08	5.14	955500	11707095.00
12/13/2000	5.36	5.36	5.20	5.24	1555200	19559534.00
12/14/2000	5.24	5.27	5.16	5.16	751400	9327149.00
12/15/2000	5.18	5.24	5.16	5.19	893800	11068193.00
12/18/2000	5.20	5.32	5.19	5.30	1693200	21322196.00
12/19/2000	5.31	5.32	5.26	5.28	1073900	13577367.00
12/20/2000	5.29	5.32	5.26	5.32	1261900	15952551.00
12/21/2000	5.32	5.38	5.30	5.33	1519700	19371008.00
12/22/2000	5.32	5.48	5.32	5.42	3519200	45555964.00
12/25/2000	5.44	5.55	5.44	5.52	3485800	45954648.00
12/26/2000	5.53	5.59	5.47	5.48	2933400	38826392.00
12/27/2000	5.48	5.62	5.48	5.58	2817100	37537544.00
12/28/2000	5.58	5.62	5.52	5.54	2206300	29367208.00
12/29/2000	5.54	5.56	5.44	5.49	2114500	27764400.00
01/02/2001	5.49	5.62	5.45	5.58	1864000	24693122.00
01/03/2001	5.60	5.65	5.56	5.59	1266600	16963788.00
01/04/2001	5.59	5.62	5.51	5.52	1963300	25981198.00
01/05/2001	5.52	5.59	5.47	5.55	2095700	27723844.00
01/08/2001	5.56	5.67	5.55	5.64	2527400	34126564.00
01/09/2001	5.65	5.71	5.60	5.61	1744200	23629662.00
01/10/2001	5.61	5.69	5.60	5.67	1431800	19348120.00
01/11/2001	5.67	5.75	5.66	5.67	1465700	20076764.00
