000159 国际实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
09/26/2000	5.20	6.06	5.06	5.94	53071100	971599808.00
09/27/2000	5.88	6.54	5.77	6.37	26435500	523892032.00
09/28/2000	6.29	6.45	6.09	6.12	14803700	299729344.00
09/29/2000	6.12	6.78	6.10	6.68	13247500	281719232.00
10/09/2000	6.80	7.00	6.56	6.99	12418200	270268608.00
10/10/2000	6.97	7.10	6.84	7.00	7807400	175306368.00
10/11/2000	6.97	7.05	6.70	6.75	6967900	153059152.00
10/12/2000	6.77	6.95	6.73	6.80	4348900	95578680.00
10/13/2000	6.83	7.23	6.83	6.95	5792200	131544592.00
10/16/2000	6.96	7.04	6.50	6.55	6353600	137216640.00
10/17/2000	6.55	6.72	6.46	6.57	2885200	61484680.00
10/18/2000	6.58	6.63	6.36	6.39	4150700	86530424.00
10/19/2000	6.40	6.66	6.40	6.48	2443700	51701716.00
10/20/2000	6.48	6.66	6.24	6.58	3958000	82227736.00
10/23/2000	6.63	6.82	6.46	6.65	2971000	64123844.00
10/24/2000	6.63	6.94	6.58	6.89	3615700	79292200.00
10/25/2000	6.90	7.24	6.87	6.89	7544300	171639504.00
10/26/2000	6.83	7.02	6.83	6.86	2976600	66061044.00
10/27/2000	6.84	6.94	6.66	6.80	2571200	56016388.00
10/30/2000	6.80	6.86	6.68	6.83	1468300	32026462.00
10/31/2000	6.83	7.11	6.80	6.91	2458000	54966156.00
11/01/2000	6.91	7.24	6.91	7.24	4922900	112537424.00
11/02/2000	7.33	7.38	7.10	7.11	4200000	97349192.00
11/03/2000	7.11	7.34	7.06	7.22	2893700	67021608.00
11/06/2000	7.24	7.50	7.24	7.31	2828200	66967928.00
11/07/2000	7.37	7.43	7.22	7.37	1755400	41114168.00
11/08/2000	7.36	7.53	7.32	7.35	2245300	53277448.00
11/09/2000	7.34	7.42	7.11	7.19	5606100	129431592.00
11/10/2000	7.19	7.29	7.07	7.12	3394100	77843616.00
11/13/2000	7.11	7.36	7.00	7.34	2278000	52336860.00
11/14/2000	7.34	7.45	7.22	7.38	2196900	51787180.00
11/15/2000	7.40	7.60	7.28	7.32	2747000	65282100.00
11/16/2000	7.33	7.37	7.17	7.22	1951500	45250764.00
11/17/2000	7.21	7.28	7.13	7.24	1546300	35617980.00
11/20/2000	7.18	7.24	7.08	7.14	1733700	39638936.00
11/21/2000	7.13	7.21	7.07	7.07	1322500	30252182.00
11/22/2000	7.00	7.21	7.00	7.11	1525300	34762252.00
11/23/2000	7.11	7.30	7.10	7.16	1202900	27677100.00
11/24/2000	7.16	7.17	6.77	6.85	2297400	51585928.00
11/27/2000	6.79	6.90	6.71	6.74	1274800	27851152.00
