000166 申万宏源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/26/2015	13.05	15.52	12.01	14.44	1225927830	23755591680.00
01/27/2015	13.52	13.96	12.99	13.02	687550484	12429621248.00
01/28/2015	12.93	12.93	12.33	12.61	368204171	6344390144.00
01/29/2015	12.26	13.21	12.16	12.93	395604727	6838197760.00
01/30/2015	12.84	13.02	12.33	12.37	268831053	4614103552.00
02/02/2015	11.87	12.00	11.37	11.45	296803034	4709138432.00
02/03/2015	11.63	11.80	11.45	11.73	244130649	3874595328.00
02/04/2015	11.74	11.86	11.38	11.39	252635066	3986040320.00
02/05/2015	11.73	11.73	11.28	11.29	233707168	3657292544.00
02/06/2015	11.10	11.34	10.90	10.96	196406084	2973104640.00
02/09/2015	10.93	11.57	10.87	11.39	263003773	4062699520.00
02/10/2015	11.30	11.47	11.09	11.23	187082277	2879595520.00
02/11/2015	11.30	11.73	11.15	11.67	245122220	3845895424.00
02/12/2015	11.56	11.70	11.43	11.58	157518604	2482387456.00
02/13/2015	11.67	11.79	11.53	11.56	162471571	2580065024.00
02/16/2015	11.57	11.61	11.41	11.47	126813936	1987431040.00
02/17/2015	11.48	11.70	11.48	11.59	121216445	1918480512.00
02/25/2015	11.63	11.63	11.33	11.36	100306161	1561035904.00
02/26/2015	11.32	11.81	11.14	11.69	212915107	3345515264.00
02/27/2015	11.61	11.71	11.53	11.56	142434085	2254747392.00
03/02/2015	11.75	11.94	11.60	11.69	209563382	3357588736.00
03/03/2015	11.63	11.64	11.31	11.32	177715672	2768033536.00
03/04/2015	11.30	11.52	11.30	11.39	104884499	1629174400.00
03/05/2015	11.31	11.50	11.26	11.33	119927983	1856576128.00
03/06/2015	11.36	11.47	11.29	11.30	97587017	1512189568.00
03/09/2015	11.02	11.25	10.91	11.21	134023796	2017582336.00
03/10/2015	11.17	11.44	11.08	11.28	123955506	1899032704.00
03/11/2015	11.28	11.43	11.09	11.14	121578229	1865269888.00
03/12/2015	11.19	11.39	11.08	11.24	128255692	1965937280.00
03/13/2015	11.30	11.44	11.19	11.26	116482679	1796282752.00
03/16/2015	11.29	11.50	11.19	11.49	203043114	3153751040.00
03/17/2015	11.58	12.56	11.52	12.32	458779061	7489495552.00
03/18/2015	12.33	12.93	12.19	12.70	398776502	6849320960.00
03/19/2015	12.71	12.82	12.41	12.61	256462068	4397697536.00
03/20/2015	12.64	13.64	12.39	13.19	442537683	7853674496.00
03/23/2015	13.07	13.36	12.90	13.15	292739943	5226910208.00
03/24/2015	13.11	13.12	12.48	12.70	270826718	4715207680.00
03/25/2015	12.69	12.97	12.53	12.57	203497114	3514445824.00
03/26/2015	12.48	12.79	12.36	12.64	185459271	3178770176.00
03/27/2015	12.64	12.75	12.56	12.64	125250648	2159041024.00
03/30/2015	12.67	12.92	12.61	12.80	191608983	3334113024.00
03/31/2015	12.93	13.41	12.63	12.67	274723683	4870209024.00
04/01/2015	12.72	12.98	12.61	12.84	194816251	3390374912.00
04/02/2015	12.90	12.99	12.61	12.76	177613667	3084623616.00
04/03/2015	12.64	13.13	12.62	13.00	249207399	4386372096.00
04/07/2015	13.15	13.20	12.93	13.17	262024620	4670383616.00
04/08/2015	13.23	14.43	13.09	14.10	508489661	9522503680.00
04/09/2015	14.20	15.14	13.97	14.02	514467075	10136816640.00
04/10/2015	13.89	14.12	13.68	14.04	240651399	4556914176.00
04/13/2015	14.11	14.30	13.83	14.07	229106226	4369213952.00
04/14/2015	14.04	14.29	13.62	14.10	232268237	4395884544.00
04/15/2015	14.07	14.07	13.56	13.57	158532693	2986231040.00
04/16/2015	13.41	13.82	13.24	13.63	152452230	2808183552.00
04/17/2015	13.79	14.09	13.64	13.73	199881953	3763872768.00
04/20/2015	13.74	13.78	13.28	13.28	208200312	3825452288.00
04/21/2015	13.09	13.96	13.09	13.77	206983582	3845618944.00
04/22/2015	13.82	14.68	13.73	14.39	303277553	5802979840.00
04/23/2015	14.44	14.50	13.93	13.98	276624878	5339266560.00
04/24/2015	13.74	13.81	13.36	13.51	191115087	3537468416.00
04/27/2015	13.59	13.81	13.46	13.63	148517570	2755165696.00
04/28/2015	13.64	13.81	13.44	13.55	169359141	3140715520.00
04/29/2015	13.63	13.67	13.36	13.56	111617457	2056653056.00
04/30/2015	13.64	13.65	13.33	13.36	129825800	2385338368.00
05/04/2015	13.35	13.49	13.18	13.28	104698431	1892924928.00
05/05/2015	13.27	13.57	12.84	12.89	146985459	2648738048.00
